GS068,YG,Oval,6.32 x 4.81 mm,0.87 ct,Heated,Mada,$280/ct,Case 1G - Wholesale,
GS068,YG,Oval,6.32 x 4.81 mm,0.87 ct,Heated,Mada,$250/ct,Case 1G - Trade Show,
GS068,YG,Oval,6.32 x 4.81 mm,0.87 ct,Heated,Mada,$300/ct,Case 1G - Rep,
GS069,Yellow/Green,Oval,5.94 x 4.90 mm,0.80 ct,Unheated,Madagascar,$250/ct,Case 1H - Wholesale,
GS069,YG,Oval,5.94 x 4.90 mm,0.80 ct,Unheated,Mada,$225/ct,Case 1H - Trade Show,
GS069,YG,Oval,5.94 x 4.90 mm,0.80 ct,Unheated,Mada,$270/ct,Case 1H - Rep,
GS074,Teal,SC,8.98 x 8.67 mm,4.35 ct,Heated,Mada,$1 100/ct,Case 1C - Wholesale,
GS074,Teal,SC,8.98 x 8.67 mm,4.35 ct,Heated,Mada,$1 100/ct,Case 1C - Trade Show,
GS074,Teal,SC,8.98 x 8.67 mm,4.35 ct,Heated,Mada,$1 185/ct,Case 1C - Rep,
GS075,Teal,RC,8.50 x 7.80 mm,3.29 ct,Heated,Mada,$1 100/ct,Case 1C - Wholesale,
GS075,Teal,RC,8.50 x 7.80 mm,3.29 ct,Heated,Mada,$1 100/ct,Case 1C - Trade Show,
GS075,Teal,RC,8.50 x 7.80 mm,3.29 ct,Heated,Mada,$1 185/ct,Case 1C - Rep,
GS076,Teal,SC,7.60 x 7.57 mm,2.69 ct,Unheated,Mada,$850/ct,Case 1C - Wholesale,
GS076,Teal,SC,7.60 x 7.57 mm,2.69 ct,Unheated,Mada,$765/ct,Case 1C - Trade Show,
GS076,Teal,SC,7.60 x 7.57 mm,2.69 ct,Unheated,Mada,$915/ct,Case 1C - Rep,
GS077,Teal,SC,7.38 x 7.05 mm,2.47 ct,Unheated,Mada,$750/ct,Case 1C - Wholesale,
GS077,Teal,SC,7.38 x 7.05 mm,2.47 ct,Unheated,Mada,$750/ct,Case 1C - Trade Show,
GS077,Teal,SC,7.38 x 7.05 mm,2.47 ct,Unheated,Mada,$810/ct,Case 1C - Rep,
GS078,Teal,RC,8.65 x 6.77 mm,2.30 ct,Unheated,Mada,$650/ct,Case 1C - Wholesale,
GS078,Teal,RC,8.65 x 6.77 mm,2.30 ct,Unheated,Mada,$585/ct,Case 1C - Trade Show,
GS078,Teal,RC,8.65 x 6.77 mm,2.30 ct,Unheated,Mada,$700/ct,Case 1C - Rep,
